difficulty_action,difficulty_category,difficulty_question,difficulty_amount
Investigação,ENTRAR OU SAIR DE UM LOCAL,Do que é feita a entrada ou porta?,3
Investigação,ENTRAR OU SAIR DE UM LOCAL,Vejo alguma abertura ou brecha?,6
Investigação,ENTRAR OU SAIR DE UM LOCAL,O que parece não fazer parte ou estar fora do lugar?,9
Investigação,ENTRAR OU SAIR DE UM LOCAL,O que os microvestígios físicos no local sugerem sobre a forma que se entra ou sai?,12
Investigação,ENTRAR OU SAIR DE UM LOCAL,O que os resquícios mágicos no local sugerem sobre a forma que se entra ou sai?,15
Investigação,ENTRAR OU SAIR DE UM LOCAL,Qual é a forma exata de entrar?,18
Investigação,ENTRAR OU SAIR DE UM LOCAL,Qual é a forma de entrar ou sair sem ser detectado?,21
Investigação,RESQUÍCIOS DE MAGIA,O local ou item está enfeitiçado?,3
Investigação,RESQUÍCIOS DE MAGIA,Qual magia é percebida no ambiente? ( repelente / proteção / maldição / charm / etc. ),6
Investigação,RESQUÍCIOS DE MAGIA,"Qual a fonte da magia empregnada no local / item? (de duende, de elfo, de bruxos, magia antiga, outro",9
Investigação,RESQUÍCIOS DE MAGIA,Sobre o tempo e intensidade: Parece ter sido enfeitiçada há quanto tempo? Qual a duração da magia? Etc.,12
Investigação,RESQUÍCIOS DE MAGIA,O que a magia presente faz exatamente?,15
Investigação,RESQUÍCIOS DE MAGIA,"Como ativar, alterar ou desativar a magia presente?",18
Investigação,RESQUÍCIOS DE MAGIA,(Qualquer pergunta que o jogador tenha),21
Investigação,FUNCIONAMENTO DE UM ARTEFATO OU POÇÕES,"Quais aspectos físicos se percebem à primeira vista (cor, detalhes ou ornamentos mais óbvios)",3
Investigação,FUNCIONAMENTO DE UM ARTEFATO OU POÇÕES,"O que se nota numa segunda vista mais cuidadosa ou mais aproximada? (cheiro, textura, viscosidade, etc)",6
Investigação,FUNCIONAMENTO DE UM ARTEFATO OU POÇÕES,É um item potencialmente danoso?,9
Investigação,FUNCIONAMENTO DE UM ARTEFATO OU POÇÕES,"O que é o item, por alto?",12
Investigação,FUNCIONAMENTO DE UM ARTEFATO OU POÇÕES,O que é o item?,15
Investigação,FUNCIONAMENTO DE UM ARTEFATO OU POÇÕES,"O que é exatamente o item, inclusive suas propriedades específicas e como ele funciona?",18
Investigação,FUNCIONAMENTO DE UM ARTEFATO OU POÇÕES,"Como alterar o item, reprogramá-lo ou destruí-lo?",21
Investigação,CAUSA DE UM FERIMENTO OU DANO,"Quais aspectos físicos se percebem à primeira vista? (tamanho, formato geral)",3
Investigação,CAUSA DE UM FERIMENTO OU DANO,"Quais aspectos físicos se percebem com mais escrutínio? (formato exato, profundidade, etc.)",6
Investigação,CAUSA DE UM FERIMENTO OU DANO,"O que exatamente o trauma ou dano causou? (fez parar de funcionar, etc.)",9
Investigação,CAUSA DE UM FERIMENTO OU DANO,"Quais vestígios do ambiente se ligam ao dano? Há pegadas, sangue, rastros, etc.?",12
Investigação,CAUSA DE UM FERIMENTO OU DANO,"É possível reparar o dano, ou impedir a continuação dele?",15
Investigação,CAUSA DE UM FERIMENTO OU DANO,Como reparar o dano?,18
